DimAccountID,ACCOUNT,LONG_NAME,ACCOUNTSOURCENAME,IsPrimaryAccount,Source,NAVColumnName,ShowAccount
89494,UTJF30110002,BROOKDALE INTL PA US,Mellon,TRUE,DW,NAV,0
89434,UTJF30100002,PILLAR TX PA US,Mellon,TRUE,DW,NAV,0
89374,UTJF30090002,EXODUSPOINT OF PA US,Mellon,TRUE,DW,NAV,0
89254,UTJF30070002,Brookdale PA US,Mellon,TRUE,DW,NAV,0
89194,UTJF30050002,Junto PA US,Mellon,TRUE,DW,NAV,0
89134,UTJF30040002,Hound Var Beta PA US,Mellon,TRUE,DW,NAV,0
89074,UTJF30030002,Highbridge Ta PA US,Mellon,TRUE,DW,NAV,0
89014,UTJF30020002,FifthDelta PA US,Mellon,TRUE,DW,NAV,0
88954,UTJF30010002,Farallon CIP PA US,Mellon,TRUE,DW,NAV,0
88894,UTJF30000002,ExodusPoint PA US,Mellon,TRUE,DW,NAV,0
77610,UTBG04100000,TOTAL REAL ESTATE,Mellon,TRUE,DW,NAV,1
81570,UTBG43000001,ITF POLAR BIO CONSOL,Mellon,TRUE,DW,NAV,1
81510,UTBG42540000,ITF Tybourne Combined,Mellon,TRUE,DW,NAV,1
77130,UTBG03500000,MORE CORR EM MKT EQ,Mellon,TRUE,DW,NAV,1
81330,UTBG37010000,ITF Tot Portable Alpha US Con,Mellon,TRUE,DW,NAV,1
81210,UTBG36010000,ITF Tot Portable Alpha EM Con,Mellon,TRUE,DW,NAV,1
76830,UTBG03200000,MORE CORR DEV CTRY,Mellon,TRUE,DW,NAV,1
80910,UTBG35040000,ITF Janus Consol,Mellon,TRUE,DW,NAV,1
80850,UTBG35030000,Total Portable Alpha Developed,Mellon,TRUE,DW,NAV,1
76530,UTBG02900000,MORE CORR RL EST,Mellon,TRUE,DW,NAV,1
80790,UTBG35020000,Paradigm with Biotech Hedge,Mellon,TRUE,DW,NAV,1
80730,UTBG35010000,ITF Tot Portable Alpha Con,Mellon,TRUE,DW,NAV,1
80490,UTBG29170000,ITF Tot Inflation Linked Bonds,Mellon,TRUE,DW,NAV,1
73049,UTBF26350002,ITF UTMF TEMP 5,Mellon,TRUE,DW,NAV,1
90567,UTBF22630002,ITF Petra,Mellon,TRUE,DW,NAV,1
88229,UTBG02010000,ITF More Corr Inv Gr less Liq,Mellon,TRUE,DW,NAV,1
90267,UTBF22590002,ITF RUSSIAN PRSPRTY,Mellon,TRUE,DW,NAV,1
87929,UTBG00450000,ITF Global Dev Equity Britt,Mellon,TRUE,DW,NAV,1
87809,UTBG00443000,ITF Non-US Dev Equity Britt,Mellon,TRUE,DW,NAV,1
87449,UTBG00422000,ITF US Equity Britt,Mellon,TRUE,DW,NAV,1
87089,UTBG00170000,ITF Tot Internal FI,Mellon,TRUE,DW,NAV,1
86969,UTBG00142000,ITF Total External Fixed Inc,Mellon,TRUE,DW,NAV,1
86909,UTBG00140000,ITF Total IGFI CR Fixed Income,Mellon,TRUE,DW,NAV,1
85469,UTBG00015600,ITF Total Fund excl DTAA,Mellon,TRUE,DW,NAV,1
85409,UTBG00015500,ITF Total Fund excl TAA,Mellon,TRUE,DW,NAV,1
87267,UTBF20580002,ITF PIMCO Fixed,Mellon,TRUE,DW,NAV,1
85049,UTBG00012100,ITF Tot Public Equity,Mellon,TRUE,DW,NAV,1
84929,UTBG00010000,UTB TOTAL FUND,Mellon,TRUE,DW,NAV,1
103039,UGEG02300000,GEF MORE CORR CR REL,Mellon,TRUE,DW,NAV,1
86667,UTAG25660000,Brookdale Intl Consolidation,Mellon,TRUE,DW,NAV,1
86487,UTAG25510000,Stable Value - Niche Relative,Mellon,TRUE,DW,NAV,1
102559,UGEG02010000,GEF More Corr Inv Gr less Liq,Mellon,TRUE,DW,NAV,1
83789,UTBF42150002,ITF Viking Global In,Mellon,TRUE,DW,NAV,1
