DimInvestmentID,DimAccountID,InvestmentManagerID,Name,AssetClass,SubAssetClass,InvestmentRegime,Original_AssetClass,Original_SubAssetClass,IsPrimaryAccount,AsOfDate,NAV,Twr1Month,Twr3Month,Twr1Year,Twr3Year,Twr5Year,Twr10Year,TwrFytd,TwrYtd,TwrInceptionInvested,TwrSince98,TwrCompYtd,SINCE_INCEPTION,INCEPTION_DATE,AdjustedBegMV,TOT_MARKET_VALUE,SortOrder_Regime,SortOrder_AssetClass,SortOrder_SubAssetClass,SortOrder,IsRegimeTotal,IsAssetClassTotal,IsConsolidationAccount,IsSubassetClass_Total,TargetAllocation,DimPortfolioID,CustodianMarketValue
20056,94160,UTIMCO,Total Portable Alpha DM Consol,Developed Markets Public Equity,Hedge Fund Overlay,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,TRUE,30-09-2022 00:00:00,,-0.08114,,,,,,-0.08114,,-0.08114,,,-8.114,,166424233.1,169854488.4,1,1,4,14457,0,0,0,0,20.1,12,
16394,101958,UTIMCO,MSCI EM Reallocation,Developed Markets Public Equity,Global Developed Public Equity,Global Equity,Developed Markets Public Equity,Global Developed Public Equity,TRUE,30-09-2022 00:00:00,-6357480,-0.282626,,,,,,-0.282626,,-0.282626,,,-28.2626,,-8862155.99,-6357480.11,1,1,3,12630,0,0,0,0,20.1,12,
7148,1312,UTIMCO,Internal Factor Basket,Developed Markets Public Equity,Global Developed Public Equity,Global Equity,Developed Markets Public Equity,Global Developed Public Equity,TRUE,30-09-2022 00:00:00,34353680,-0.090445,,,,,,-0.090445,,-0.131034,,,-13.1034,,37769748.54,34353680.18,1,1,3,11778,0,0,0,0,20.1,12,
22498,7192,UTIMCO,MSCI EM ex-China Swap,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,Emerging Markets Public Equity,Global EM Public Equity,TRUE,30-09-2022 00:00:00,45432367,-0.103678,-0.055885,,,,,-0.103678,,-0.225074,,1,-22.5074,,45835667.14,45432367.23,1,2,5,17754,0,0,0,0,7,12,
6614,90018,Hillhouse,Hillhouse China Value,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,Emerging Markets Public Equity,Global EM Public Equity,TRUE,30-09-2022 00:00:00,85229452,-0.091185,-0.205129,,,,,-0.091185,,-0.099594,,1,-9.9594,,93780825.37,85229451.63,1,2,5,16699,0,0,0,0,7,12,
3822,89178,UTIMCO,Taiwan Semi,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,Emerging Markets Public Equity,Global EM Public Equity,TRUE,30-09-2022 00:00:00,13210599,-0.194759,-0.164551,,,,,-0.194759,-0.393174,-0.368499,,1,-31.2568,,16405760.84,13210598.99,1,2,5,18950,0,0,0,0,7,12,
2219,89298,Arrowstreet,Arrowstreet EM,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,Emerging Markets Public Equity,Global EM Public Equity,TRUE,30-09-2022 00:00:00,201655011,-0.100992,-0.069663,,,,,-0.100992,-0.165195,-0.165195,,1,-16.5195,,224308459.6,201655011.2,1,2,5,15452,0,0,0,0,7,12,
2558,11335,Myriad,Myriad Direct - Didi,Directional Hedge Funds,Directional Multi-Strat,Global Equity,Directional Hedge Funds,Directional Multi-Strat,TRUE,30-09-2022 00:00:00,555851,-0.279608,-0.377288,,,,,-0.279608,,-0.516148,,1,-51.6148,,3876813.45,2792826,1,4,9,25901,0,0,0,0,,12,
5834,10375,DE Shaw,DE Shaw Alkali V - Offshore,Directional Hedge Funds,Directional Credit,Global Equity,Directional Hedge Funds,Directional Credit,TRUE,30-09-2022 00:00:00,5428292,0.019,0.018678,-3.60E-05,,,,0.019,-3.60E-05,-2.90E-05,,1,-0.0036,,26765433.94,27273977.18,1,4,11,28531,0,0,0,0,,12,
2509,10315,DE Shaw,DE Shaw Alkali V - Onshore,Directional Hedge Funds,Directional Credit,Global Equity,Directional Hedge Funds,Directional Credit,TRUE,30-09-2022 00:00:00,5430303,0.019,0.019009,-0.004403,,,,0.019,-0.004403,-0.003524,,1,-0.4403,,26775351.46,27284083.13,1,4,11,28530,0,0,0,0,,12,
