DimAccountID,ACCOUNT,LONG_NAME,ACCOUNTSOURCENAME,Source,IsPrimaryAccount,NAVColumnName,ShowAccount,IsHedgeFund
78027,UTAF25530002,BOR UTA TEMP AC103,Mellon,DW,TRUE,NAV,0,1
77967,UTAF25520002,BOR UTA TEMP AC102,Mellon,DW,TRUE,NAV,0,1
77907,UTAF25510002,BOR UTA TEMP AC101,Mellon,DW,TRUE,NAV,0,1
77847,UTAF25500002,BOR UTA TEMP AC100,Mellon,DW,TRUE,NAV,0,1
77787,UTAF25490002,UTA TEMP AC 87,Mellon,DW,TRUE,NAV,0,1
77667,UTAF25470002,UTA TEMP AC 85,Mellon,DW,TRUE,NAV,0,1
77427,UTAF25430002,UTA TEMP AC 81,Mellon,DW,TRUE,NAV,0,1
77367,UTAF25420002,UTA TEMP AC 80,Mellon,DW,TRUE,NAV,0,1
77307,UTAF25410002,UTA TEMP AC 79,Mellon,DW,TRUE,NAV,0,1
83846,UTAF24420002,Silver Point,Mellon,DW,TRUE,NAV,0,1
77247,UTAF25400002,UTA TEMP AC 78,Mellon,DW,TRUE,NAV,0,1
77127,UTAF25380002,UTA TEMP AC 76,Mellon,DW,TRUE,NAV,0,1
76947,UTAF25350002,UTA TEMP AC 73,Mellon,DW,TRUE,NAV,0,1
76887,UTAF25340002,UTA TEMP AC 72,Mellon,DW,TRUE,NAV,0,1
76827,UTAF25330002,UTA TEMP AC 71,Mellon,DW,TRUE,NAV,0,1
76767,UTAF25320002,UTA TEMP AC 70,Mellon,DW,TRUE,NAV,0,1
76587,UTAF25290002,TEMP AC 67,Mellon,DW,TRUE,NAV,0,1
76527,UTAF25280002,TEMP AC 66,Mellon,DW,TRUE,NAV,0,1
76407,UTAF25260002,TEMP AC 64,Mellon,DW,TRUE,NAV,0,1
82946,UTAF24290002,MOON,Mellon,DW,TRUE,NAV,0,1
76287,UTAF25240002,TEMP AC 62,Mellon,DW,TRUE,NAV,0,1
76227,UTAF25230002,TEMP AC 61,Mellon,DW,TRUE,NAV,0,1
82766,UTAF24270002,TPG-Axon,Mellon,DW,TRUE,NAV,0,1
76107,UTAF25210002,COLUMBUS HILL OPP,Mellon,DW,TRUE,NAV,0,1
75807,UTAF25160002,Deerfield PD IV,Mellon,DW,TRUE,NAV,0,1
75687,UTAF25140002,FASS III,Mellon,DW,TRUE,NAV,0,1
75627,UTAF25130002,Silver Point Select,Mellon,DW,TRUE,NAV,0,1
75447,UTAF25100002,Silver Point SPC CRD,Mellon,DW,TRUE,NAV,0,1
75327,UTAF25080002,Hound HF,Mellon,DW,TRUE,NAV,0,1
90934,UTJF30350002,UTJF TEMP AC 8 US,Mellon,DW,TRUE,NAV,0,1
90874,UTJF30340002,SLVR PT SPE CR II US,Mellon,DW,TRUE,NAV,0,1
90814,UTJF30330002,BURFORD ALT INC USPA,Mellon,DW,TRUE,NAV,0,1
90754,UTJF30320002,DE SHW AL V OFF USPA,Mellon,DW,TRUE,NAV,0,1
90694,UTJF30310002,DE SHAW AL V ON USPA,Mellon,DW,TRUE,NAV,0,1
90634,UTJF30300002,DE SHAW ALKA IV USPA,Mellon,DW,TRUE,NAV,0,1
90574,UTJF30290002,DE SHAW DIO OFF USPA,Mellon,DW,TRUE,NAV,0,1
90514,UTJF30280002,DE SHAW DIO ON USPA,Mellon,DW,TRUE,NAV,0,1
90454,UTJF30270002,MILLENNIUM HF US PA,Mellon,DW,TRUE,NAV,0,1
90394,UTJF30260002,MILLENNIUM INL US PA,Mellon,DW,TRUE,NAV,0,1
90334,UTJF30250002,UTJF TEMP AC 7 US,Mellon,DW,TRUE,NAV,0,1
90274,UTJF30240002,UTJF TEMP AC 6 US,Mellon,DW,TRUE,NAV,0,1
89974,UTJF30190002,UTJF TEMP AC 1 US,Mellon,DW,TRUE,NAV,0,1
89914,UTJF30180002,Two Sigma AR PA US,Mellon,DW,TRUE,NAV,0,1
89794,UTJF30160002,Atlas Enhanced PA US,Mellon,DW,TRUE,NAV,0,1
89734,UTJF30150002,Walleye PA US,Mellon,DW,TRUE,NAV,0,1
89674,UTJF30140002,Holocene Off PA US,Mellon,DW,TRUE,NAV,0,1
89614,UTJF30130002,Holocene On PA US,Mellon,DW,TRUE,NAV,0,1
89554,UTJF30120002,JUNIPERUS PA US,Mellon,DW,TRUE,NAV,0,1
89494,UTJF30110002,BROOKDALE INTL PA US,Mellon,DW,TRUE,NAV,0,1
89434,UTJF30100002,PILLAR TX PA US,Mellon,DW,TRUE,NAV,0,1
89374,UTJF30090002,EXODUSPOINT OF PA US,Mellon,DW,TRUE,NAV,0,1
89254,UTJF30070002,Brookdale PA US,Mellon,DW,TRUE,NAV,0,1
89194,UTJF30050002,Junto PA US,Mellon,DW,TRUE,NAV,0,1
89134,UTJF30040002,Hound Var Beta PA US,Mellon,DW,TRUE,NAV,0,1
89074,UTJF30030002,Highbridge Ta PA US,Mellon,DW,TRUE,NAV,0,1
89014,UTJF30020002,FifthDelta PA US,Mellon,DW,TRUE,NAV,0,1
88954,UTJF30010002,Farallon CIP PA US,Mellon,DW,TRUE,NAV,0,1
88894,UTJF30000002,ExodusPoint PA US,Mellon,DW,TRUE,NAV,0,1
77610,UTBG04100000,TOTAL REAL ESTATE,Mellon,DW,TRUE,NAV,1,0
81570,UTBG43000001,ITF POLAR BIO CONSOL,Mellon,DW,TRUE,NAV,1,0
81510,UTBG42540000,ITF Tybourne Combined,Mellon,DW,TRUE,NAV,1,0
77130,UTBG03500000,MORE CORR EM MKT EQ,Mellon,DW,TRUE,NAV,1,0
81330,UTBG37010000,ITF Tot Portable Alpha US Con,Mellon,DW,TRUE,NAV,1,0
81210,UTBG36010000,ITF Tot Portable Alpha EM Con,Mellon,DW,TRUE,NAV,1,0
76830,UTBG03200000,MORE CORR DEV CTRY,Mellon,DW,TRUE,NAV,1,0
80910,UTBG35040000,ITF Janus Consol,Mellon,DW,TRUE,NAV,1,0
80850,UTBG35030000,Total Portable Alpha Developed,Mellon,DW,TRUE,NAV,1,0
76530,UTBG02900000,MORE CORR RL EST,Mellon,DW,TRUE,NAV,1,0
80790,UTBG35020000,Paradigm with Biotech Hedge,Mellon,DW,TRUE,NAV,1,0
80730,UTBG35010000,ITF Tot Portable Alpha Con,Mellon,DW,TRUE,NAV,1,0
80490,UTBG29170000,ITF Tot Inflation Linked Bonds,Mellon,DW,TRUE,NAV,1,0
73049,UTBF26350002,ITF UTMF TEMP 5,Mellon,DW,TRUE,NAV,1,0
90567,UTBF22630002,ITF Petra,Mellon,DW,TRUE,NAV,1,0
88229,UTBG02010000,ITF More Corr Inv Gr less Liq,Mellon,DW,TRUE,NAV,1,0
90267,UTBF22590002,ITF RUSSIAN PRSPRTY,Mellon,DW,TRUE,NAV,1,0
87929,UTBG00450000,ITF Global Dev Equity Britt,Mellon,DW,TRUE,NAV,1,0
